soil,cluster_id,n_objects,pct_of_soil_objects,mean_elongation,median_elongation,mean_flatness,median_flatness,mean_sphericity,median_sphericity,mean_pore_contact_fraction,median_pore_contact_fraction,mean_diameter_um,median_diameter_um
Bnei Re'em (Vertisol) -- n=1 (only plausible replicate; see Part 0),0,188,12.867898699520875,1.5651969633566536,1.4658566102184722,1.5147924425819796,1.4273525718768454,0.7952971513238594,0.7895837251379665,0.22117036629883402,0.20460491889063318,84.61833439312434,69.46464386118028
Bnei Re'em (Vertisol) -- n=1 (only plausible replicate; see Part 0),1,97,6.639288158795345,1.6916548200227148,1.6104797544744942,3.306199736717048,2.9457995253911937,0.5132798507804262,0.5194218881684335,0.44964683881109063,0.42857142857142855,151.96442285217512,109.01712335221299
Bnei Re'em (Vertisol) -- n=1 (only plausible replicate; see Part 0),2,370,25.32511978097194,1.626916637160985,1.590545529312676,1.3614190992333826,1.325840099982413,0.8525838068819686,0.8511942961432555,0.9001623498225861,0.92,66.76782954890103,55.83209877428485
Bnei Re'em (Vertisol) -- n=1 (only plausible replicate; see Part 0),3,244,16.700889801505816,1.493795930996617,1.4217853805415968,2.3007312416278567,2.2600732419965577,0.7709633704853212,0.7635516588591856,0.8921414248859189,0.9220647773279352,58.032391532950285,48.77383079444271
Bnei Re'em (Vertisol) -- n=1 (only plausible replicate; see Part 0),4,307,21.013004791238878,1.582091479980702,1.554437000646935,1.5965504963101018,1.5951465444872028,0.5325117595009331,0.54278199524579,0.6333153934406748,0.6446280991735537,188.3121719004068,152.5737773908331
Bnei Re'em (Vertisol) -- n=1 (only plausible replicate; see Part 0),5,255,17.453798767967147,2.6637071644133816,2.5757646905315936,1.5028762007884722,1.432761665202508,0.6372876331084593,0.6470991904296438,0.8201743605882569,0.8507462686567164,111.83756081661245,74.05303835326716
"Mishmar HaNegev (Loess) -- sample 1 (native 5.85um), label-downsampled ~15um",0,232,35.36585365853659,2.0861729798078454,1.90612152608144,2.0657817629859103,1.909991969314285,0.6068161330247531,0.6181203410070666,0.5821921987181281,0.5839779729906909,155.2959696558936,124.30852411877522
"Mishmar HaNegev (Loess) -- sample 1 (native 5.85um), label-downsampled ~15um",1,424,64.63414634146342,1.4980232448543909,1.4175935162547542,1.4929753108869874,1.437690656539711,0.7996547336240822,0.7966169616859571,0.5818948311431157,0.5925850340136054,92.71460905094088,82.61987503865514
"Mishmar HaNegev (Loess) -- sample 2 (native 8.8um), label-downsampled ~15um",0,332,30.430797433547205,1.5514198785594777,1.5130433068259403,1.4661500765438722,1.4079779030824389,0.8449141464012268,0.8457933736008585,0.8368976675897115,0.8568225496476618,66.8948204246307,57.17796549252984
"Mishmar HaNegev (Loess) -- sample 2 (native 8.8um), label-downsampled ~15um",1,215,19.706691109074242,2.6695962389790138,2.49378836717919,1.4849665979077418,1.4426342299230606,0.6496123744248873,0.6617517496069979,0.7152981866721171,0.7229437229437229,124.34667188911531,88.077434073378
"Mishmar HaNegev (Loess) -- sample 2 (native 8.8um), label-downsampled ~15um",2,225,20.623281393217233,1.6019810905183716,1.5603581295865927,2.515481272446531,2.3479560177674297,0.6017378260261436,0.6074639880734992,0.6383469880886807,0.64,180.49612420795685,107.92139970998376
"Mishmar HaNegev (Loess) -- sample 2 (native 8.8um), label-downsampled ~15um",3,319,29.23923006416132,1.557286914748161,1.5148593683307119,1.5094975434637905,1.4762627566683408,0.7148303269158335,0.7164097048360827,0.3954856977939081,0.4072398190045249,145.45049488723603,127.82359731713659
