Diameter_px,Diameter_um,Volume_Count,Cumulative_Porosity,Differential_PSD,is_reliable
2.0909403860795663,31.364105791193495,75783,0.008172326823193564,0.002995488647564263,False
2.2810913120589995,34.216369680884995,0,0.008172326823193564,0.0,False
2.488534636660389,37.32801954990583,0,0.008172326823193564,0.0,False
2.714842937290658,40.72264405935987,151506,0.024510510158173234,0.00461235427922786,False
2.9617318021532544,44.42597703229882,0,0.024510510158173234,0.0,False
3.2310728357052008,48.466092535578014,0,0.024510510158173234,0.0,False
3.524907846835431,52.87361770253146,17759,0.02642561449625822,0.00041639765510128603,False
3.8454643273215376,57.681964909823066,150602,0.04266631180603214,0.003236826998100737,False
4.195172337903358,62.92758506855037,0,0.04266631180603214,0.0,False
4.5766829299826055,68.65024394973908,291855,0.07413952406977412,0.00527052463508311,False
4.992888242598984,74.89332363898477,72337,0.08194023934113251,0.0011974191067781205,False
5.446943427033062,81.70415140549594,34437,0.08565387457344473,0.0005225284981963447,True
5.942290565241006,89.13435847861508,324269,0.12062256473654402,0.004510130244050042,True
6.482684763440987,97.2402714516148,282425,0.15107885972408003,0.003600690305464629,True
7.072222618660431,106.08333927990647,141453,0.16633294238273963,0.0016530796331414089,True
7.715373274042053,115.73059911063079,117023,0.17895252991332802,0.0012535793245013734,True
8.417012298331404,126.25518447497106,417395,0.22396379041194747,0.004098517709964398,True
9.18245864637812,137.7368796956718,113131,0.23616367040923858,0.0010182635086576585,True
10.017514980839398,150.26272471259097,392522,0.2784926633138951,0.003238482375685609,True
10.928511660754772,163.9276749113216,177835,0.29767012713299207,0.0013449116473311128,True
11.922354730458853,178.83532095688278,270469,0.326837104734068,0.0018749642496590144,True
13.006578272624324,195.09867408936486,199582,0.34835973292279926,0.0012682236478504107,True
14.189401522310877,212.84102283466316,346635,0.38574033950155306,0.0020190443971586933,True
15.479791174987815,232.19686762481723,207063,0.40806970768427125,0.0011055412196445105,True
16.887529360872264,253.31294041308396,209270,0.43063707548826047,0.00102418495686156,True
18.42328780088,276.3493170132,306939,0.4637369240398381,0.0013769636410722313,True
20.098708706346997,301.48063059520496,266271,0.4924511955194388,0.0010949473802054279,True
21.926493035802935,328.897395537044,302473,0.5250694372252545,0.0011401315766101999,True
23.92049677784977,358.80745166774653,290746,0.5564230565664818,0.0010045720465553874,True
26.095835990042453,391.43753985063677,278600,0.5864668692017921,0.0008823632940612519,True
28.469001390045953,427.0350208506893,223966,0.6106190319465156,0.0006502006442286046,True
31.057983367756442,465.86975051634664,316630,0.6447639436289216,0.0008425900830365784,True
33.88240836607295,508.2361254910943,183724,0.664576468512661,0.00044815593807572,True
36.96368766418915,554.4553149628373,126540,0.6782223552709961,0.0002829372145542669,True
40.32517969129502,604.8776953694253,159840,0.695459264860472,0.0003276021135888273,True
43.99236710114927,659.885506517239,191176,0.716075402421018,0.00035916464147259366,True
47.993049949881794,719.8957492482269,172616,0.7346900569861894,0.00029726257388887806,True
52.35755644145996,785.3633466218994,38892,0.7388841128405055,6.139294162443986e-05,True
57.11897283842901,856.7845925764351,55672,0.7448876991184417,8.055527228624886e-05,True
62.313394280824,934.70091421236,48307,0.7500970546711119,6.407169222305683e-05,True
67.98019841465037,1019.7029762197556,131639,0.7642928100605578,0.00016004410499376827,True
74.1623439042442,1112.435158563663,76835,0.7725785830104288,8.562748410246059e-05,True
80.90669609146173,1213.6004413719259,58296,0.778865137573918,5.955137936183346e-05,True
88.2643822704414,1323.965734056621,51808,0.7844520357972136,4.851196613425356e-05,True
96.29117927118978,1444.3676890678466,104162,0.7956847120776127,8.940469790943901e-05,True
105.04793629016851,1575.7190443525276,117715,0.8083789238664338,9.261510373080771e-05,True
114.60103617325808,1719.0155425988712,377712,0.849110828238682,0.0002724016750380921,True
125.02289864797247,1875.343479719587,409196,0.893237920683472,0.0002705075253431007,True
136.3925293198056,2045.8879397970838,990018,1.0,0.0005999154449050838,True
148.79611859451734,2231.94177891776,0,1.0,0.0,True
