soil,cluster_id,n_objects,pct_of_soil_objects,mean_elongation,median_elongation,mean_flatness,median_flatness,mean_sphericity,median_sphericity,mean_pore_contact_fraction,median_pore_contact_fraction,mean_diameter_um,median_diameter_um
"Bnei Re'em (Vertisol) -- canonical nlm_volume, n=1 [EXISTING CROP]",0,44,57.89473684210526,1.564095033620673,1.4752905561050222,1.6559118664405945,1.5051003492408594,0.4784630873152341,0.46695746152072604,0.5081557481097637,0.48156833476389604,387.6697721150646,341.8767679630515
"Bnei Re'em (Vertisol) -- canonical nlm_volume, n=1 [EXISTING CROP]",1,32,42.10526315789474,2.1623159439118007,2.139275051346199,1.864436227370305,1.716283326196139,0.3241278436413485,0.3197670617349096,0.6623578660816334,0.6792228216429499,525.3583904104471,440.2231916567972
"Mishmar HaNegev (Loess) -- sample 1 (native 5.85um), label-downsampled ~15um [ROI-EXPANDED CROP]",0,12,22.641509433962263,2.6697169480285132,2.686552482779349,1.4347574419139864,1.4007844013185866,0.3619004228469525,0.3323564433564419,0.671374548211131,0.6716834632241069,485.8493274633779,476.66398341759106
"Mishmar HaNegev (Loess) -- sample 1 (native 5.85um), label-downsampled ~15um [ROI-EXPANDED CROP]",1,32,60.37735849056604,1.5619707908375133,1.4763995283891358,2.386908201588616,2.1533359334283535,0.391395404058306,0.40935002979799073,0.572103758594664,0.5969836720309345,443.29072733020445,368.1858934777055
"Mishmar HaNegev (Loess) -- sample 1 (native 5.85um), label-downsampled ~15um [ROI-EXPANDED CROP]",2,9,16.9811320754717,1.7852062106724738,1.4697115454109018,1.3965113009455399,1.3337402485195975,0.6653900419043342,0.6577155769818609,0.4363802878631289,0.38106060606060604,332.8695741879458,335.8138902758647
"Mishmar HaNegev (Loess) -- sample 2 (native 8.8um), label-downsampled ~15um [ROI-EXPANDED CROP]",0,61,20.74829931972789,2.4473367247395164,1.9798726098128967,3.624596032271708,1.9713383909300295,0.375890112880109,0.3929061559169143,0.11719210734273942,0.056558363417569195,728.4949171256383,421.9797699946825
"Mishmar HaNegev (Loess) -- sample 2 (native 8.8um), label-downsampled ~15um [ROI-EXPANDED CROP]",1,233,79.25170068027211,1.803866446596338,1.6108471724573514,1.7256155838391984,1.5779461692188055,0.4545679589917677,0.44128841777087446,0.5850645306390435,0.5904761904761905,454.8042233795167,380.8372436111526
