soil,cluster_id,n_objects,pct_of_soil_objects,mean_elongation,median_elongation,mean_flatness,median_flatness,mean_sphericity,median_sphericity,mean_pore_contact_fraction,median_pore_contact_fraction,mean_diameter_um,median_diameter_um
"Bnei Re'em (Vertisol) -- canonical nlm_volume, n=1 [EXISTING CROP]",0,26,20.8,2.796837454324009,2.5970349946410196,1.5508855849227507,1.473394234286629,0.4087998961425467,0.41358309969539864,0.7261642217555269,0.7137032414346843,412.30577634295776,315.6379741749912
"Bnei Re'em (Vertisol) -- canonical nlm_volume, n=1 [EXISTING CROP]",1,34,27.2,1.7316204716084418,1.7050281622459638,1.489479378427969,1.4210258120186037,0.551016816255033,0.5412082943109854,0.46120551076969146,0.4714226735503331,322.50611732235666,315.84169734700936
"Bnei Re'em (Vertisol) -- canonical nlm_volume, n=1 [EXISTING CROP]",2,33,26.4,1.411465451155259,1.3558793804232514,1.7521821230491808,1.739154336977892,0.45550714867963027,0.45705606374030955,0.7828596267255699,0.780360531309298,356.43267022677253,303.3603104943705
"Bnei Re'em (Vertisol) -- canonical nlm_volume, n=1 [EXISTING CROP]",3,32,25.6,1.725704202494893,1.6005123676328672,1.8539853166404119,1.632375324889054,0.34451260083261637,0.36380855412065094,0.4048844604972379,0.4240108816477134,412.64497637358886,381.9745538665418
"Mishmar HaNegev (Loess) -- sample 1 (native 5.85um), label-downsampled ~15um [ROI-EXPANDED CROP]",0,43,37.719298245614034,1.6904254071911138,1.5366376616875093,1.5237633608917482,1.3511580628937032,0.6511219653104383,0.644839741050995,0.41461727688838645,0.3707865168539326,269.50453775935847,259.72425929813187
"Mishmar HaNegev (Loess) -- sample 1 (native 5.85um), label-downsampled ~15um [ROI-EXPANDED CROP]",1,71,62.280701754385966,1.9604657306050408,1.784749930130761,2.1293891059696404,1.8878900138871928,0.4139460480860204,0.4315503112671988,0.5916413009822593,0.6067522586780789,381.6995569498179,319.16926112580927
"Mishmar HaNegev (Loess) -- sample 2 (native 8.8um), label-downsampled ~15um [ROI-EXPANDED CROP]",0,492,80.65573770491804,1.7785778315206666,1.5927097191280197,1.6829574032217618,1.5515706145593198,0.5037701465902792,0.5024567885928712,0.5506714508653058,0.5641536243245513,352.6951165536232,298.5683525572674
"Mishmar HaNegev (Loess) -- sample 2 (native 8.8um), label-downsampled ~15um [ROI-EXPANDED CROP]",1,118,19.34426229508197,2.4461209077373414,2.042943802849744,5.1182965246906456,3.175220754214348,0.4339766228043632,0.4483552525206067,0.07006483638572068,0.01855746329555333,495.6063821763321,290.46913158170094
