soil,object_id,n_voxels,diameter_um,elongation,flatness,near_planar,near_linear,sphericity,sphericity_method,pore_contact_fraction,centroid_z_um,centroid_y_um,centroid_x_um,cluster_id,archetype_id
bnei_reem,1,698,165.08761997407603,2.090614208021852,1.823717942049472,False,False,0.637389098976016,marching_cubes,0.22660098522167488,25.723751222063036,1401.5898535530087,2469.372666393983,5,4
bnei_reem,2,41,64.17373518674685,2.179478488371157,1.8860842987499418,False,False,0.8043497553434513,marching_cubes,0.024390243902439025,5.487859390243902,2409.1702723170733,2355.023393,5,4
bnei_reem,3,55,70.77560580771322,1.4583425832363348,1.643898709581378,False,False,0.8399241595637605,marching_cubes,0.22916666666666666,10.091009327272728,2614.389605709091,2355.841582945455,5,4
bnei_reem,4,901,179.7508540746961,1.2489893801399077,2.9288230097076062,False,False,0.5712592719487215,marching_cubes,0.10479573712255773,21.992449310765817,3146.2188214972257,2914.690439540511,4,5
bnei_reem,5,504,148.1060767065343,1.0472813687450626,1.5352265952699407,False,False,0.5953456658116629,marching_cubes,0.2818991097922849,42.47065996626984,3096.5783780873016,4547.813031636904,5,4
bnei_reem,6,245,116.45319108778594,1.7512017974776157,2.0470416759200902,False,False,0.6814673472151808,marching_cubes,0.30337078651685395,17.387927820408162,3685.7508971428574,9463.991967236734,5,4
bnei_reem,7,73,77.7804262745324,2.3840168966222874,1.1774763882723376,False,False,0.7555227144089766,marching_cubes,0.25757575757575757,27.94548306849315,3654.8993186712332,9748.042035068493,5,4
bnei_reem,8,126,93.30098182995366,2.320561021625924,2.9457995253911937,False,False,0.5765806764219176,marching_cubes,0.3170731707317073,9.404855325396825,3755.989690079365,4339.566915460317,4,5
bnei_reem,9,937,182.1136767440782,2.2203128687788016,6.356688004030186,False,False,0.3989718709268906,marching_cubes,0.11084905660377359,10.86990519850587,3890.8977740672362,5361.920923972252,4,5
bnei_reem,10,45,66.19627276862721,1.3738050785272304,1.587161439478598,False,False,0.8505231086144457,marching_cubes,0.45,13.333465777777777,3818.371262111111,6251.728766555556,5,4
bnei_reem,11,123,92.55454199810706,1.738181805093687,2.224494494577265,False,False,0.6146951497727539,marching_cubes,0.5740740740740741,16.829435463414637,3877.1116829918706,6127.499890284553,2,3
bnei_reem,12,12,42.607865772378865,2.1431590908412566,1.5492960959971047,False,False,0.8340204947318146,marching_cubes,0.9166666666666666,8.750086916666667,3848.7882309166666,9473.844105916667,3,2
bnei_reem,13,323,127.69195603212557,1.5883026644393619,3.269238658949342,False,False,0.5549308469256362,marching_cubes,0.2673992673992674,14.953708910216719,4052.2693543095975,7516.978692681115,4,5
bnei_reem,14,1010,186.72529612387652,1.14253935646297,3.5258319915989134,False,False,0.4263080273322474,marching_cubes,0.33866666666666667,31.39635147128713,4483.009877323762,8571.144545130694,4,5
bnei_reem,15,83,81.18118686302584,2.091743422033285,2.648226372252642,False,False,0.654194958606611,marching_cubes,0.27710843373493976,9.036234337349399,4487.213247240964,3276.9000200963856,4,5
bnei_reem,16,492,146.92117733223003,1.8849200536238364,3.635465152238661,False,False,0.5575257316646142,marching_cubes,0.30687830687830686,14.542827384146342,4555.4111036260165,5907.284288197155,4,5
bnei_reem,17,153,99.53897765109527,2.057210550540702,2.812536027723317,False,False,0.4368298900322306,marching_cubes,0.6577181208053692,14.804068620915034,4641.516693509804,1041.9711344575162,4,5
bnei_reem,18,95,84.91881021212326,1.9084670406510789,2.8328422513900486,False,False,0.5545433609781403,marching_cubes,0.6195652173913043,17.684386189473685,4565.413770378947,8893.667290252632,4,5
bnei_reem,19,12,42.607865772378865,1.382083446317975,1.3680802133424848,False,False,1.0,marching_cubes,0.0,6.250062083333334,4692.546612166667,8541.334843083332,5,4
bnei_reem,20,46,66.68302754918446,1.276426043325627,1.550146682514352,False,False,0.6485769513888224,marching_cubes,0.6976744186046512,33.913380347826084,4727.329566369565,8109.21098547826,2,3
bnei_reem,21,257,118.32424446003702,1.3329612841535827,2.5928116247781112,False,False,0.6855534181478332,marching_cubes,0.0,13.249158844357977,5679.511668840467,2238.5825476498053,5,4
bnei_reem,22,17,47.853349248710295,1.2061344740281355,1.6467314210043404,False,False,0.9969648730878015,marching_cubes,0.8823529411764706,8.82361705882353,5760.057216,2616.2024579411764,3,2
bnei_reem,23,30,57.82777072902817,1.967280545226743,1.1795020613756122,False,False,0.919984291214744,marching_cubes,0.8888888888888888,10.5001043,5833.057941133334,2651.0263332666664,3,2
bnei_reem,24,9,38.71181515580866,1.9218232085861933,1.6852212257595047,False,False,0.9636859155639522,marching_cubes,0.7777777777777778,11.666782555555557,5856.724842888889,2216.6886855555554,3,2
bnei_reem,25,45,66.19627276862721,1.2717257528917674,2.9047833223111117,False,False,0.7633615475357767,marching_cubes,0.4888888888888889,9.333426044444446,5906.3920029111105,9376.426471577777,1,1
bnei_reem,26,753,169.31458000562077,1.4225478694116014,1.3296922498528492,False,False,0.5543470353477165,marching_cubes,0.6122881355932204,74.28360640239045,6125.439331482072,1843.803175487384,2,3
bnei_reem,27,149,98.663864425617,1.6640449666084338,1.9647498448380947,False,False,0.6657864190665046,marching_cubes,0.09774436090225563,13.993427590604027,6319.492303201343,9521.470417926173,5,4
bnei_reem,28,919,180.93997919794333,3.043141317172944,1.7426542044737308,False,False,0.41663934982148143,marching_cubes,0.22700296735905046,248.5225992100109,6542.611235212187,2010.281122021763,2,3
bnei_reem,29,251,117.39617295883973,1.5649956530837588,1.5995495425449784,False,False,0.6979231316063792,marching_cubes,0.1793478260869565,23.725335270916336,6522.256022159362,9430.013989266932,5,4
bnei_reem,30,49,68.1022392824357,1.3497423109730202,2.439436188891593,False,False,0.6649158992151248,marching_cubes,0.7083333333333334,14.387898020408162,6980.885669306123,2120.8373933061225,1,1
bnei_reem,31,1046,188.91796572532948,1.1018568684878145,2.3766210703672153,False,False,0.5873644360689624,marching_cubes,0.39625850340136054,99.65204149235181,7131.480972517209,4700.151850235182,4,5
bnei_reem,32,24,53.68254697771541,1.7552139957908213,2.819113238887544,False,False,0.6990789264090919,marching_cubes,0.875,12.500124166666668,7078.195309375,1887.5187491666666,1,1
bnei_reem,33,900,179.6843289560834,1.554437000646935,1.452030817237036,False,False,0.5944546827367667,marching_cubes,0.6044624746450304,52.15051802333333,7314.022651903334,2432.5241628333333,2,3
bnei_reem,34,24,53.68254697771541,1.5586869135905983,1.4720411487581386,False,False,0.8811669880397652,marching_cubes,0.7272727272727273,20.625204875,7413.198637041666,3268.157463375,3,2
bnei_reem,35,34,60.29144202642111,2.1565228527483087,1.7019121709124203,False,False,0.7681739025781268,marching_cubes,0.696969696969697,13.676606441176471,7493.897968058824,3090.4718748529413,0,0
bnei_reem,36,6183,341.5826323989991,1.7999352505760893,1.0804892353487558,False,False,0.4681709791916823,marching_cubes,0.535972754363559,152.519710065017,7772.304278358079,2215.439279646612,2,3
bnei_reem,37,286,122.6171949096678,1.8126150678310435,3.49398017267393,False,False,0.5542477876585145,marching_cubes,0.39357429718875503,13.741395237762237,7663.922281384615,5939.324730972028,4,5
bnei_reem,38,243,116.13544546742597,1.9813287885693984,2.058699126631084,False,False,0.6799163139797284,marching_cubes,0.4388888888888889,16.728561230452673,7813.040571728396,8477.244700288065,2,3
bnei_reem,39,46,66.68302754918446,1.1091993289473225,2.961367297329643,False,False,0.6509364569201764,marching_cubes,0.7555555555555555,28.04375682608696,7893.339275956522,6101.799741043478,1,1
bnei_reem,40,34,60.29144202642111,2.0652213267164448,1.3461437163100656,False,False,0.7732939045262149,marching_cubes,0.8823529411764706,30.441478852941177,7958.902587058824,101.91277702941177,3,2
bnei_reem,41,16,46.896024337020826,1.1076283528315887,5.070639087662123,True,False,0.7384526386768158,marching_cubes,0.5625,14.0626396875,8124.455702125,1227.1996900625,4,5
bnei_reem,42,758,169.6885091795242,1.9933022476560502,3.0600812275863096,False,False,0.508596131748322,marching_cubes,0.15342960288808663,18.146618249340367,8719.361017791558,557.1229482810027,4,5
